#beam run file  event                time              chan[0 11] 
1   38   74      8698 2017 09 29 09 22 39 0 0 1 1 0 0 0 1 0 1 1 1
1   38   10      1329 2017 09 28 19 29 14 0 1 0 0 1 0 0 1 1 0 1 0
1   38   10      5057 2017 09 28 19 33 58 0 0 0 1 1 0 0 1 1 0 0 0
1   38   10      6051 2017 09 28 19 35 16 0 0 1 0 1 0 1 1 0 1 0 0
1   38   10      9940 2017 09 28 19 40 13 0 1 0 0 0 0 1 0 0 1 0 0
1   38   20      1189 2017 09 28 21 38 22 0 1 0 0 0 0 0 1 0 0 0 1
1   38   34       388 2017 09 29 00 37 00 0 1 1 1 1 1 1 1 0 0 0 1
1   38   34       705 2017 09 29 00 37 24 0 0 1 0 1 0 0 0 0 0 1 0
1   38   34      2174 2017 09 29 00 39 14 0 1 1 1 0 1 0 0 1 0 0 0
1   38   34      4104 2017 09 29 00 41 40 0 0 0 1 1 1 0 0 0 1 0 1
1   38   34      8317 2017 09 29 00 46 53 0 0 1 0 1 1 1 1 1 1 1 1
0   38   48      2306 2017 09 29 03 40 39 0 0 1 0 1 1 1 1 1 1 0 1
1   38   75      7878 2017 09 29 09 34 37 0 0 1 0 0 0 0 1 0 0 0 1
1   38  102      1167 2017 09 29 15 14 24 0 0 1 1 0 0 1 1 1 1 1 1
1   38  102      3656 2017 09 29 15 17 34 0 0 1 0 0 0 0 1 0 1 0 0
1   38   63      7222 2017 09 29 06 59 42 0 1 1 1 0 0 0 1 1 1 1 1
1   38   63      7268 2017 09 29 06 59 45 0 0 1 0 1 1 1 1 1 1 1 1
1   38   11       141 2017 09 28 19 40 29 0 1 1 1 0 0 0 1 1 0 0 1
1   38   11      3447 2017 09 28 19 44 42 0 1 1 1 1 0 0 0 0 1 0 1
1   38   11      4902 2017 09 28 19 46 34 0 1 0 0 1 0 1 1 1 1 1 0
1   38   11      7568 2017 09 28 19 50 06 0 1 0 0 0 0 1 1 1 0 0 0
1   38   76      8303 2017 09 29 09 48 07 0 1 0 1 0 0 1 0 0 1 0 1
1   38    8      1451 2017 09 28 19 03 34 0 0 0 1 1 0 0 0 1 0 0 0
1   38    8      2374 2017 09 28 19 04 46 0 0 0 1 0 0 0 1 0 0 0 1
1   38    8      3238 2017 09 28 19 05 54 0 0 0 1 0 0 1 0 0 0 0 1
1   38  103      6732 2017 09 29 15 34 08 0 0 1 1 1 1 0 1 0 1 1 0
1   38   64       631 2017 09 29 07 04 08 0 0 1 0 0 1 1 1 1 1 1 1
1   38   64      1343 2017 09 29 07 05 01 0 1 0 0 1 0 0 0 1 0 0 0
1   38   64      3566 2017 09 29 07 07 57 0 0 1 0 0 1 0 0 1 0 1 0
1   38   64      4068 2017 09 29 07 08 33 0 0 0 1 1 0 0 1 1 1 1 0
1   38   35      1891 2017 09 29 00 51 30 0 1 1 0 1 1 1 1 0 1 1 0
1   38   35      5613 2017 09 29 00 56 21 0 0 1 0 1 0 0 0 1 0 0 0
1   38   35      6613 2017 09 29 00 57 33 0 1 0 0 0 0 0 1 0 1 0 1
1   38   35      7799 2017 09 29 00 59 02 0 1 1 0 1 1 1 1 1 1 1 1
1   38   21      4074 2017 09 28 21 55 05 0 0 0 1 1 1 0 1 1 1 1 1
1   38   21      9747 2017 09 28 22 02 28 0 0 1 0 1 1 1 1 0 0 0 1
0   38   49      3190 2017 09 29 03 54 39 0 1 1 1 0 1 1 0 0 0 1 0
1   38   77      1265 2017 09 29 09 51 50 0 0 0 1 0 1 0 1 0 0 0 1
1   38   77      3991 2017 09 29 09 55 22 0 0 0 1 1 0 1 1 1 1 1 1
1   38   77      9617 2017 09 29 10 02 38 0 0 1 0 0 0 1 0 0 0 0 1
1   38  104      6709 2017 09 29 15 46 59 0 0 0 1 0 0 1 0 0 0 0 1
1   38   90      1823 2017 09 29 12 40 37 0 1 0 0 1 0 1 0 0 1 0 1
1   38   90      4262 2017 09 29 12 43 42 0 1 0 0 1 1 1 1 0 1 1 1
1   38   90      7911 2017 09 29 12 48 17 0 1 1 1 1 1 0 1 0 0 1 1
1   38   90      8215 2017 09 29 12 48 40 0 0 1 0 1 0 0 1 1 0 1 1
1   38   22      1880 2017 09 28 22 05 09 0 1 0 0 0 1 1 1 0 1 0 1
1   38    4       814 2017 09 28 18 11 16 0 1 1 0 0 0 1 0 0 0 0 1
1   38  109      3841 2017 09 29 16 47 17 0 1 0 0 0 0 0 1 0 0 0 1
0   38   51      1353 2017 09 29 04 17 38 0 0 1 1 0 0 1 0 0 0 1 0
0   38   51      1971 2017 09 29 04 18 24 0 1 1 1 1 1 0 1 0 1 0 0
0   38   51      4363 2017 09 29 04 21 32 0 1 0 1 0 0 0 1 1 0 0 0
0   38   51      9332 2017 09 29 04 27 51 0 0 0 1 0 1 0 1 0 0 0 1
1   38   91       766 2017 09 29 12 52 00 0 1 1 1 1 1 0 1 1 1 0 1
1   38   91       778 2017 09 29 12 52 00 0 1 1 1 0 0 1 1 0 0 0 1
